"suc","fechas","flujo_efe"
1,2021-06-08,12661918.4453965
1,2021-06-09,13262295.665272
1,2021-06-10,13373912.5975426
1,2021-06-11,13762384.1606584
1,2021-06-12,14108006.9200491
1,2021-06-13,13754632.1628497
1,2021-06-14,13806978.110051
1,2021-06-15,13840583.3444099
1,2021-06-16,12571780.1159513
1,2021-06-17,13288237.1013348
1,2021-06-18,12523095.1354053
1,2021-06-19,13497440.1851553
1,2021-06-20,12836851.2221258
1,2021-06-21,12695280.4186353
1,2021-06-22,13322667.2855878
1,2021-06-23,12833726.193243
1,2021-06-24,13872550.0994917
1,2021-06-25,13720126.3572061
1,2021-06-26,13712889.8238963
1,2021-06-27,14009741.66227
1,2021-06-28,13359486.4984785
1,2021-06-29,14070161.0151194
1,2021-06-30,13444395.1419961
1,2021-07-01,14184648.771981
1,2021-07-02,13038816.4707794
1,2021-07-03,13893373.5237685
1,2021-07-04,13345496.9384381
1,2021-07-05,13805165.4780154
1,2021-07-06,14066105.2385067
1,2021-07-07,13420653.0918793
1,2021-07-08,12984700.2336077
1,2021-07-09,14176406.2558724
1,2021-07-10,13969374.4537599
1,2021-07-11,13649535.4969772
1,2021-07-12,13193727.6454742
1,2021-07-13,12874116.5285314
1,2021-07-14,12859477.9211165
1,2021-07-15,13340675.8562633
1,2021-07-16,12738615.1153939
1,2021-07-17,12654688.6577779
1,2021-07-18,12697918.7268909
1,2021-07-19,13197022.5323356
1,2021-07-20,13416078.7736748
1,2021-07-21,12977873.6095402
1,2021-07-22,13871809.6537338
1,2021-07-23,13158496.5766771
1,2021-07-24,12921786.4990397
1,2021-07-25,13323346.0652565
1,2021-07-26,13860208.9116996
1,2021-07-27,12994354.1713959
1,2021-07-28,13444703.1409907
1,2021-07-29,13344524.6485182
1,2021-07-30,12524508.4102087
1,2021-07-31,12812685.0294797
1,2021-08-01,12536139.153318
1,2021-08-02,13084760.6513989
1,2021-08-03,13144795.7958848
1,2021-08-04,12877583.8704236
1,2021-08-05,12491989.3588721
1,2021-08-06,12814366.4575975
1,2021-08-07,12395394.5829779
1,2021-08-08,14107483.5475774
1,2021-08-09,13479199.6393431
1,2021-08-10,14025159.4342394
1,2021-08-11,13049555.4237323
1,2021-08-12,12215710.8108606
1,2021-08-13,13824937.0827804
1,2021-08-14,14004994.1177707
1,2021-08-15,12359066.7202772
1,2021-08-16,12674183.4185473
1,2021-08-17,13280642.0876616
1,2021-08-18,14531383.2582156
1,2021-08-19,14015485.8962582
1,2021-08-20,14593727.0741663
1,2021-08-21,14638103.7287113
1,2021-08-22,13499895.717647
1,2021-08-23,13037657.1992697
1,2021-08-24,12688126.8078018
1,2021-08-25,13174060.2266218
1,2021-08-26,14313368.2991219
1,2021-08-27,13095115.1707181
1,2021-08-28,12967639.6855096
1,2021-08-29,13445521.6073682
1,2021-08-30,13560495.0309699
1,2021-08-31,13159052.8326305
1,2021-09-01,12601716.1519824
1,2021-09-02,13298141.9029207
1,2021-09-03,13535514.2591534
1,2021-09-04,13170925.2912211
1,2021-09-05,13810133.9676815
1,2021-09-06,13503245.733293
1,2021-09-07,12773972.1491545
1,2021-09-08,11690803.2504653
1,2021-09-09,13023580.7146264
1,2021-09-10,13368801.3411984
1,2021-09-11,13721509.4820613
1,2021-09-12,14370745.04646
1,2021-09-13,14038700.1506472
1,2021-09-14,13716948.990562
1,2021-09-15,13224617.6323027
1,2021-09-16,13383188.4355615
1,2021-09-17,14569777.6706905
1,2021-09-18,14872167.0379386
1,2021-09-19,13824782.8231318
1,2021-09-20,13072595.3450188
1,2021-09-21,11960414.6186459
1,2021-09-22,12461264.8946653
1,2021-09-23,12222634.4591448
1,2021-09-24,12988658.4476374
1,2021-09-25,13077067.5155849
1,2021-09-26,12925704.1916802
1,2021-09-27,13023807.6679686
1,2021-09-28,12878452.6173555
1,2021-09-29,13381899.2792085
1,2021-09-30,13933743.3481139
1,2021-10-01,13367655.9302093
1,2021-10-02,12787479.3382023
1,2021-10-03,12819589.1434389
1,2021-10-04,13602486.0098398
1,2021-10-05,12886391.2735133
1,2021-10-06,13737121.564852
1,2021-10-07,13066319.6543825
1,2021-10-08,13530219.4147987
1,2021-10-09,13638181.6862384
1,2021-10-10,13293375.0744049
1,2021-10-11,12969137.2601606
1,2021-10-12,13685234.4054228
1,2021-10-13,11878776.3909746
1,2021-10-14,12406343.2566839
1,2021-10-15,12698178.3946419
1,2021-10-16,13766506.5849955
1,2021-10-17,12873866.3354394
1,2021-10-18,12755066.0284606
1,2021-10-19,12621029.6073775
1,2021-10-20,12852997.7528906
1,2021-10-21,12841319.694843
1,2021-10-22,13070832.1352682
1,2021-10-23,12614625.0210791
1,2021-10-24,13155662.4624918
1,2021-10-25,13855678.9885505
1,2021-10-26,14700985.8910682
1,2021-10-27,13229378.1335937
1,2021-10-28,14259201.9954348
1,2021-10-29,14437932.0797317
1,2021-10-30,13950618.9874065
1,2021-10-31,12201065.3773762
1,2021-11-01,13038167.0947545
1,2021-11-02,13195452.0965525
1,2021-11-03,12703676.638066
1,2021-11-04,12621066.9161113
1,2021-11-05,11985985.6390268
1,2021-11-06,12769526.4650094
1,2021-11-07,12721682.3566881
1,2021-11-08,13449255.3581205
1,2021-11-09,12723825.0728007
1,2021-11-10,13283350.0079824
1,2021-11-11,12668237.2710078
1,2021-11-12,13389051.7031971
1,2021-11-13,13347290.8663616
1,2021-11-14,12686961.4925858
1,2021-11-15,12592301.5230558
1,2021-11-16,13537480.4745247
1,2021-11-17,14052724.0119646
1,2021-11-18,13557347.4881901
1,2021-11-19,13101618.7949534
1,2021-11-20,13785925.9956412
1,2021-11-21,13690951.6952011
1,2021-11-22,12830075.9433934
1,2021-11-23,13433963.6249753
1,2021-11-24,12935371.8637661
1,2021-11-25,13675727.9498115
1,2021-11-26,13161256.1512977
1,2021-11-27,13547512.2287803
1,2021-11-28,13785034.4638033
1,2021-11-29,13645291.8070045
1,2021-11-30,13846353.5974498
1,2021-12-01,12714648.2949713
1,2021-12-02,11729993.5170351
1,2021-12-03,12690507.1277592
1,2021-12-04,13218655.3847807
1,2021-12-05,13313320.1504742
1,2021-12-06,13599064.093993
1,2021-12-07,13315185.6389477
1,2021-12-08,13217493.3030794
1,2021-12-09,13683055.3242008
1,2021-12-10,12892709.3784307
1,2021-12-11,13736277.2817258
1,2021-12-12,12966706.900767
1,2021-12-13,13631074.4694998
1,2021-12-14,13705057.2055033
1,2021-12-15,13427317.7952316
1,2021-12-16,12756009.3136727
1,2021-12-17,12846008.2009453
1,2021-12-18,13322039.8574662
1,2021-12-19,13774714.5951607
1,2021-12-20,12933273.0967172
1,2021-12-21,13308139.681413
1,2021-12-22,13656775.8510999
1,2021-12-23,13525270.8008669
1,2021-12-24,13770298.2200888
1,2021-12-25,12408754.0834641
1,2021-12-26,12906576.5140638
1,2021-12-27,12500044.8974708
1,2021-12-28,13281257.7646195
1,2021-12-29,13725859.117132
1,2021-12-30,13607469.2843013
1,2021-12-31,14206345.0765246
1,2022-01-01,13100222.3544294
1,2022-01-02,13017971.8208813
1,2022-01-03,12462445.0359096
1,2022-01-04,13139746.5169797
1,2022-01-05,13298113.1122955
1,2022-01-06,12562795.470782
1,2022-01-07,13659485.3946384
1,2022-01-08,13392635.6487476
1,2022-01-09,12796559.3110753
1,2022-01-10,13314544.7398382
1,2022-01-11,12822119.6310709
1,2022-01-12,12676595.8544482
1,2022-01-13,12196186.9860248
1,2022-01-14,13261933.4442444
1,2022-01-15,11923211.5036995
1,2022-01-16,11818488.433243
1,2022-01-17,11444037.0972279
1,2022-01-18,12147523.9705281
1,2022-01-19,13856773.4360448
1,2022-01-20,14256533.4959622
1,2022-01-21,13935280.4740314
1,2022-01-22,13692259.1192571
1,2022-01-23,13624887.1502895
1,2022-01-24,11908836.8500444
1,2022-01-25,12993066.4015598
1,2022-01-26,12644923.8903821
1,2022-01-27,13803231.563119
1,2022-01-28,12650646.167261
1,2022-01-29,13646353.5126332
1,2022-01-30,12975214.8668368
1,2022-01-31,12930097.9572891
1,2022-02-01,12940493.5706438
1,2022-02-02,12572624.090089
1,2022-02-03,13313676.6034147
1,2022-02-04,12877535.8249365
1,2022-02-05,12754679.665301
1,2022-02-06,13540663.3705022
1,2022-02-07,13523287.2568475
1,2022-02-08,14147850.0219997
1,2022-02-09,13009515.0675324
1,2022-02-10,13214507.173739
1,2022-02-11,13182792.4585137
1,2022-02-12,13780588.8308736
1,2022-02-13,13832413.7735187
1,2022-02-14,13821387.8321915
1,2022-02-15,13665917.8181432
1,2022-02-16,13135582.5692978
1,2022-02-17,13209256.5945221
1,2022-02-18,13291210.2966027
1,2022-02-19,13810536.1871828
1,2022-02-20,14116873.1776768
1,2022-02-21,14096343.3557956
1,2022-02-22,13947562.8356928
1,2022-02-23,13013080.1288842
1,2022-02-24,12939274.9065843
1,2022-02-25,13101775.8613479
1,2022-02-26,13498946.5364137
1,2022-02-27,13510433.7517361
1,2022-02-28,13295009.0798189
1,2022-03-01,13911524.4016289
1,2022-03-02,13208958.5745896
1,2022-03-03,13922586.0451935
1,2022-03-04,12599574.4634059
1,2022-03-05,13655525.4663591
1,2022-03-06,12446826.7698552
1,2022-03-07,13145525.1198132
1,2022-03-08,12728943.3239681
1,2022-03-09,13225156.7867956
1,2022-03-10,13368157.3999884
1,2022-03-11,13011120.4773909
1,2022-03-12,12633494.5933437
1,2022-03-13,13451716.3628533
1,2022-03-14,12802596.4853536
1,2022-03-15,12994299.3387167
1,2022-03-16,13327506.0736767
1,2022-03-17,14096696.2120776
1,2022-03-18,13064944.5438705
1,2022-03-19,13760161.7253418
1,2022-03-20,14068582.2095048
1,2022-03-21,13103103.9510782
1,2022-03-22,13467383.0236319
1,2022-03-23,13818428.5446577
1,2022-03-24,14492895.46178
1,2022-03-25,13742269.3767068
1,2022-03-26,13423284.3384073
1,2022-03-27,13503932.0025742
1,2022-03-28,13262314.8139917
1,2022-03-29,14110118.8453209
1,2022-03-30,13921427.7454048
1,2022-03-31,13119206.2106686
1,2022-04-01,12231182.7493156
1,2022-04-02,13759141.5895337
1,2022-04-03,12407077.8765805
1,2022-04-04,13331847.7779828
1,2022-04-05,12880816.6217225
1,2022-04-06,13442017.7422296
1,2022-04-07,12403498.8110544
1,2022-04-08,13584594.0135451
1,2022-04-09,12814033.9200504
1,2022-04-10,13810844.3054553
1,2022-04-11,13366496.6364204
1,2022-04-12,13396985.4736297
1,2022-04-13,13134359.1898664
1,2022-04-14,13338320.0297209
1,2022-04-15,13407537.3762692
1,2022-04-16,14167419.6641233
1,2022-04-17,13412171.4131964
1,2022-04-18,13372994.7352498
1,2022-04-19,13953286.7283151
1,2022-04-20,14362065.7800962
1,2022-04-21,13601967.7216951
1,2022-04-22,13719298.8324069
1,2022-04-23,14749352.3115664
1,2022-04-24,13505664.9011331
1,2022-04-25,12445245.2266203
1,2022-04-26,13853844.9829697
1,2022-04-27,12900354.0222736
1,2022-04-28,12409672.3443641
1,2022-04-29,13565647.429504
1,2022-04-30,14046202.1072934
1,2022-05-01,12711692.042135
1,2022-05-02,12968788.6388364
1,2022-05-03,12695731.5600571
1,2022-05-04,13481806.7843327
1,2022-05-05,13422463.8837175
1,2022-05-06,13591518.1031048
1,2022-05-07,13401512.3448523
1,2022-05-08,13840293.9222581
1,2022-05-09,12612111.9776505
1,2022-05-10,12329578.9582439
1,2022-05-11,12659758.3769213
1,2022-05-12,13640647.7862752
1,2022-05-13,12811555.0923821
1,2022-05-14,13441995.6025404
1,2022-05-15,13983880.6148552
1,2022-05-16,14046976.5037448
1,2022-05-17,13503601.8129969
1,2022-05-18,13947390.9388223
1,2022-05-19,14284161.9142779
1,2022-05-20,14061025.759064
1,2022-05-21,13113662.7292736
1,2022-05-22,12756928.6385886
1,2022-05-23,13153593.9657747
1,2022-05-24,13304819.0815556
1,2022-05-25,13338031.3635946
1,2022-05-26,12901553.5608888
1,2022-05-27,12919730.8781005
1,2022-05-28,13222406.8261247
1,2022-05-29,13388282.3641833
1,2022-05-30,13949368.3842742
1,2022-05-31,12693096.9310273
1,2022-06-01,13968434.8771622
1,2022-06-02,13653628.493265
1,2022-06-03,13660950.6877473
1,2022-06-04,14117548.9386288
1,2022-06-05,13373012.2375043
1,2022-06-06,14176578.3871832
1,2022-06-07,13295013.0245946
1,2022-06-08,12568284.9479514
1,2022-06-09,12556758.8889625
1,2022-06-10,12544721.9884044
1,2022-06-11,12907018.0883547
1,2022-06-12,13039449.1440241
1,2022-06-13,13548159.707552
1,2022-06-14,13732325.4588633
1,2022-06-15,13180722.4885315
1,2022-06-16,13666612.6538691
1,2022-06-17,13809416.8342659
1,2022-06-18,13831055.2208333
1,2022-06-19,13740380.9123871
1,2022-06-20,13143551.2724
1,2022-06-21,14124649.9933915
1,2022-06-22,14703883.4800184
1,2022-06-23,12774932.7211668
1,2022-06-24,12994749.559808
1,2022-06-25,13445462.2707901
1,2022-06-26,13808781.4200052
1,2022-06-27,13056969.2748569
1,2022-06-28,13297088.9112323
1,2022-06-29,13775561.9667171
1,2022-06-30,12675632.1941241
1,2022-07-01,12486650.5953369
1,2022-07-02,12814320.5247287
1,2022-07-03,13232384.4359642
1,2022-07-04,13237769.0306246
1,2022-07-05,12532651.3440968
1,2022-07-06,12779537.696576
1,2022-07-07,13174965.1636361
1,2022-07-08,12627558.2547064
1,2022-07-09,13317596.1809435
1,2022-07-10,12355950.1960385
1,2022-07-11,13471499.0166999
1,2022-07-12,12890786.1322262
1,2022-07-13,13111789.5442501
1,2022-07-14,13734968.2499404
1,2022-07-15,13749593.1725663
1,2022-07-16,13087723.7252745
1,2022-07-17,13195108.5293199
1,2022-07-18,12427506.2849301
1,2022-07-19,13294816.7646581
1,2022-07-20,13204879.1548289
1,2022-07-21,12852923.6391328
1,2022-07-22,13307864.7390535
1,2022-07-23,13513491.6410404
1,2022-07-24,12957202.0202544
1,2022-07-25,12486147.6084998
1,2022-07-26,12325130.9469257
1,2022-07-27,12916557.6247428
1,2022-07-28,12671058.0532552
1,2022-07-29,13393464.6475376
1,2022-07-30,12948361.2090928
1,2022-07-31,13015666.8642346
1,2022-08-01,12916070.2158904
1,2022-08-02,13106593.84821
1,2022-08-03,12881781.555808
1,2022-08-04,12999654.0374232
1,2022-08-05,12939134.1265002
1,2022-08-06,13429220.9285396
1,2022-08-07,13656453.0238988
1,2022-08-08,12980068.6438271
1,2022-08-09,12846060.125843
1,2022-08-10,12729516.2991224
1,2022-08-11,13382400.1778546
1,2022-08-12,13278583.1237756
1,2022-08-13,11876401.5341827
1,2022-08-14,13261750.4964264
1,2022-08-15,14264612.9785339
1,2022-08-16,13620543.2218518
1,2022-08-17,13756560.0381841
1,2022-08-18,13740580.8107638
1,2022-08-19,13324780.36423
1,2022-08-20,12103658.7443915
1,2022-08-21,12449977.1261229
1,2022-08-22,13483122.9439247
1,2022-08-23,12542004.9905346
2,2021-01-01,-2263992.41112131
2,2021-01-02,-1867270.3715904
2,2021-01-03,-1313890.15501419
2,2021-01-04,-877845.718910169
2,2021-01-05,-1112475.9533977
2,2021-01-06,-653180.241809922
2,2021-01-07,-1569906.42136371
2,2021-01-08,-1070336.80949203
2,2021-01-09,-766456.432760594
2,2021-01-10,221936.489583119
2,2021-01-11,-90547.9130233768
2,2021-01-12,-1056299.71456177
2,2021-01-13,-1250105.02030133
2,2021-01-14,-278351.694014505
2,2021-01-15,374675.407737946
2,2021-01-16,-731208.02943391
2,2021-01-17,-604042.76550804
2,2021-01-18,100393.571159028
2,2021-01-19,-685449.091830042
2,2021-01-20,-2085848.5618901
2,2021-01-21,-758198.80166895
2,2021-01-22,-440251.171931299
2,2021-01-23,-1383828.77649345
2,2021-01-24,-1437127.5824127
2,2021-01-25,-1676035.29433139
2,2021-01-26,-2193687.66818963
2,2021-01-27,-2931223.13314508
2,2021-01-28,-1072505.82861066
2,2021-01-29,-1598272.34225067
2,2021-01-30,-346609.415191133
2,2021-01-31,-2930314.63669095
2,2021-02-01,-2239415.52128905
2,2021-02-02,-1042068.69704323
2,2021-02-03,-878715.510879816
2,2021-02-04,-1616703.5333542
2,2021-02-05,-697904.204909298
2,2021-02-06,-774356.778019239
2,2021-02-07,-729817.557898971
2,2021-02-08,-709065.95239601
2,2021-02-09,946022.749409275
2,2021-02-10,657275.475463225
2,2021-02-11,-637621.445169372
2,2021-02-12,-939464.289879101
2,2021-02-13,-113510.700363514
2,2021-02-14,155132.029624446
2,2021-02-15,-1293239.71171186
2,2021-02-16,-798245.546727625
2,2021-02-17,-470140.536664975
2,2021-02-18,-1309695.27357466
2,2021-02-19,-2605707.61817129
2,2021-02-20,-887727.937813042
2,2021-02-21,-214700.373387105
2,2021-02-22,-1334819.83765255
2,2021-02-23,-1289682.13044564
2,2021-02-24,-2147721.99703968
2,2021-02-25,-2923469.77905384
2,2021-02-26,-3518399.43334064
2,2021-02-27,-698335.686954513
2,2021-02-28,-1425771.93311561
2,2021-03-01,-323860.939401032
2,2021-03-02,-3375745.80482778
2,2021-03-03,-2655360.68367671
2,2021-03-04,-1809514.38302707
2,2021-03-05,-1414849.9983093
2,2021-03-06,-1936873.44658931
2,2021-03-07,-560196.76376348
2,2021-03-08,-1011646.08455114
2,2021-03-09,-567887.408159221
2,2021-03-10,-1121295.39408621
2,2021-03-11,901066.149829937
2,2021-03-12,606762.708920968
2,2021-03-13,-293357.439779658
2,2021-03-14,-897849.025120064
2,2021-03-15,-12787.817035039
2,2021-03-16,149679.345896497
2,2021-03-17,-1520373.46668229
2,2021-03-18,-641810.123465942
2,2021-03-19,-100294.838714445
2,2021-03-20,-1617821.40349212
2,2021-03-21,-2786713.93825213
2,2021-03-22,-1440361.70006156
2,2021-03-23,-492725.271997053
2,2021-03-24,-1224427.76747141
2,2021-03-25,-1589998.89375951
2,2021-03-26,-2105848.83366641
2,2021-03-27,-2768215.15185699
2,2021-03-28,-3378848.28296886
2,2021-03-29,-578835.999712356
2,2021-03-30,-1288265.43304638
2,2021-03-31,-509419.290583338
2,2021-04-01,-3662143.26427872
2,2021-04-02,-1934853.39969533
2,2021-04-03,-1769873.38463616
2,2021-04-04,-1700309.62426115
2,2021-04-05,-2581519.20821837
2,2021-04-06,-1067467.22326392
2,2021-04-07,-1227675.87022818
2,2021-04-08,-898828.014276184
2,2021-04-09,-1743848.5735388
2,2021-04-10,615521.495976228
2,2021-04-11,571591.999507463
2,2021-04-12,-1115192.92240824
2,2021-04-13,-1492968.92759683
2,2021-04-14,-853091.983235192
2,2021-04-15,-25021.353606405
2,2021-04-16,-1003970.11663187
2,2021-04-17,-636933.955508881
2,2021-04-18,-289296.840394484
2,2021-04-19,-1870595.59513696
2,2021-04-20,-2584843.2204732
2,2021-04-21,-1655445.29105977
2,2021-04-22,-329261.613494799
2,2021-04-23,-730236.139682656
2,2021-04-24,-1736302.35528955
2,2021-04-25,-1932523.05137919
2,2021-04-26,-2140448.19836593
2,2021-04-27,-3355632.53129545
2,2021-04-28,-137779.483999909
2,2021-04-29,-895800.438188612
2,2021-04-30,-229950.184403217
2,2021-05-01,-3690314.64490699
2,2021-05-02,-2078455.46270107
2,2021-05-03,-1752114.82440247
2,2021-05-04,-1649029.06807602
2,2021-05-05,-2561604.47059781
2,2021-05-06,-1032496.17782096
2,2021-05-07,-1253609.43489998
2,2021-05-08,-861826.66733265
2,2021-05-09,-2157347.25879642
2,2021-05-10,486278.944394772
2,2021-05-11,-318321.854649022
2,2021-05-12,-1519374.33376494
2,2021-05-13,-2092834.4805873
2,2021-05-14,-1372302.42975933
2,2021-05-15,-354860.860542633
2,2021-05-16,-1037637.29993159
2,2021-05-17,-1126628.7227966
2,2021-05-18,-238223.917094367
2,2021-05-19,-1741361.73236006
2,2021-05-20,-2970215.87199415
2,2021-05-21,-1698914.18582979
2,2021-05-22,-313059.045182538
2,2021-05-23,-1097781.27472547
2,2021-05-24,-1839430.89953386
2,2021-05-25,-1811006.06000166
2,2021-05-26,-2178099.39821603
2,2021-05-27,-3296718.37173173
2,2021-05-28,681711.832569419
2,2021-05-29,-541701.661538923
2,2021-05-30,-183828.511565992
2,2021-05-31,-3628297.95660068
2,2021-06-01,-1175930.28643514
2,2021-06-02,-1014062.9817876
2,2021-06-03,-800228.76996356
2,2021-06-04,-2275977.57177056
2,2021-06-05,-723739.718263709
2,2021-06-06,-1491943.25229591
2,2021-06-07,-319848.30184803
2,2021-06-08,-1160546.59954115
2,2021-06-09,895677.301762749
2,2021-06-10,138889.452102395
2,2021-06-11,-1273778.93113693
2,2021-06-12,-1943080.60660282
2,2021-06-13,-992125.713716967
2,2021-06-14,-350174.088961337
2,2021-06-15,-510951.442444333
2,2021-06-16,-940378.603697173
2,2021-06-17,-84935.8796561684
2,2021-06-18,-1676334.24591883
2,2021-06-19,-2595502.36557176
2,2021-06-20,-1979808.24481956
2,2021-06-21,-514352.728411235
2,2021-06-22,-1409783.74449313
2,2021-06-23,-2514752.16073531
2,2021-06-24,-1656470.24031266
2,2021-06-25,-1826888.68038904
2,2021-06-26,-3086662.90793472
2,2021-06-27,-54413.6123021729
2,2021-06-28,-600483.804142956
2,2021-06-29,2812.98079449823
2,2021-06-30,-3619843.32683714
2,2021-07-01,-676214.46011196
2,2021-07-02,-969664.583064428
2,2021-07-03,-677843.116689087
2,2021-07-04,-2268360.03823365
2,2021-07-05,-714890.390158909
2,2021-07-06,-2049117.21858713
2,2021-07-07,-680391.15678857
2,2021-07-08,-948325.924556851
2,2021-07-09,1193216.68570575
2,2021-07-10,-299047.314680407
2,2021-07-11,-1725858.12565033
2,2021-07-12,-1905529.81529161
2,2021-07-13,-749746.723120978
2,2021-07-14,-371134.444652381
2,2021-07-15,132748.726371436
2,2021-07-16,-1002528.10998344
2,2021-07-17,117647.443680067
2,2021-07-18,-1200445.33644291
2,2021-07-19,-2320843.44916905
2,2021-07-20,-1596294.26797041
2,2021-07-21,-47397.3473602065
2,2021-07-22,-1023642.50720387
2,2021-07-23,-2580426.08562868
2,2021-07-24,-1446519.68945322
2,2021-07-25,-1371876.45544165
2,2021-07-26,-2283946.63661674
2,2021-07-27,1104165.24198373
2,2021-07-28,-402429.392493968
2,2021-07-29,477235.171172024
2,2021-07-30,-4009355.74910225
2,2021-07-31,-1379294.50610689
2,2021-08-01,-1688992.3418971
2,2021-08-02,-921777.926695775
2,2021-08-03,-2046551.92652709
2,2021-08-04,-856469.563783039
2,2021-08-05,-2037074.46293176
2,2021-08-06,-199260.881054835
