"","suc","fechas","flujo_efe"
"64",1,2021-03-05,13545639.2058081
"65",1,2021-03-06,13034353.1987853
"66",1,2021-03-07,13432025.1279596
"67",1,2021-03-08,14590009.9380506
"68",1,2021-03-09,13556060.5901714
"69",1,2021-03-10,13205530.4738652
"70",1,2021-03-11,13039484.8833639
"71",1,2021-03-12,13685869.5136792
"72",1,2021-03-13,13522798.8901809
"73",1,2021-03-14,12831922.3576152
"74",1,2021-03-15,12292917.4451049
"75",1,2021-03-16,13183818.2496496
"76",1,2021-03-17,13340614.0678825
"77",1,2021-03-18,13094804.4253497
"78",1,2021-03-19,13937068.6513953
"79",1,2021-03-20,13130039.5507513
"80",1,2021-03-21,13896052.7611906
"81",1,2021-03-22,13108913.0181892
"82",1,2021-03-23,12175336.1620393
"83",1,2021-03-24,12384658.57323
"84",1,2021-03-25,12533427.8150837
"85",1,2021-03-26,13158352.742827
"86",1,2021-03-27,12918568.4283388
"87",1,2021-03-28,13894349.9365285
"88",1,2021-03-29,12393380.69249
"89",1,2021-03-30,13609407.598415
"90",1,2021-03-31,13758263.8312173
"91",1,2021-04-01,13594505.0219245
"92",1,2021-04-02,13489876.6289911
"93",1,2021-04-03,13086742.6890182
"94",1,2021-04-04,12723383.3672253
"95",1,2021-04-05,13459822.8087272
"96",1,2021-04-06,12550796.9953223
"97",1,2021-04-07,13200049.4951745
"98",1,2021-04-08,13090577.8324013
"99",1,2021-04-09,13378673.1090765
"100",1,2021-04-10,13507094.7769871
"101",1,2021-04-11,13417760.3643668
"102",1,2021-04-12,13039095.6035798
"103",1,2021-04-13,13205021.0051423
"104",1,2021-04-14,13904882.6085143
"105",1,2021-04-15,13772782.5553973
"106",1,2021-04-16,13383352.6276554
"107",1,2021-04-17,12868145.9961414
"108",1,2021-04-18,13818919.6401549
"109",1,2021-04-19,13803588.3175023
"110",1,2021-04-20,13704213.7628011
"111",1,2021-04-21,14096675.8744567
"112",1,2021-04-22,14604342.096943
"113",1,2021-04-23,13556122.2501797
"114",1,2021-04-24,13417719.4295748
"115",1,2021-04-25,12830954.4516639
"116",1,2021-04-26,12410580.7212346
"117",1,2021-04-27,12585888.8507698
"118",1,2021-04-28,13396258.8074386
"119",1,2021-04-29,12847107.7974832
"120",1,2021-04-30,12286345.1488043
"121",1,2021-05-01,12000041.9636601
"122",1,2021-05-02,12617689.149006
"123",1,2021-05-03,13002191.589908
"124",1,2021-05-04,14113418.2487013
"125",1,2021-05-05,13411450.7676597
"126",1,2021-05-06,12481108.2602784
"127",1,2021-05-07,13170243.4289761
"128",1,2021-05-08,13507874.2657441
"129",1,2021-05-09,12902040.9790354
"130",1,2021-05-10,13866731.7416695
"131",1,2021-05-11,13660895.5938341
"132",1,2021-05-12,13210699.737889
"133",1,2021-05-13,13932532.6318921
"134",1,2021-05-14,13689659.449779
"135",1,2021-05-15,13532708.5047343
"136",1,2021-05-16,13292344.6659435
"137",1,2021-05-17,13059854.311423
"138",1,2021-05-18,13764818.8687246
"139",1,2021-05-19,13650521.0288332
"140",1,2021-05-20,14025834.8604819
"141",1,2021-05-21,13463446.4494886
"142",1,2021-05-22,13876579.4625518
"143",1,2021-05-23,13676299.7660184
"144",1,2021-05-24,13474367.1149284
"145",1,2021-05-25,12418607.8457268
"146",1,2021-05-26,12898706.6617048
"147",1,2021-05-27,13379832.1582356
"148",1,2021-05-28,13346802.1105583
"149",1,2021-05-29,13012819.4555749
"150",1,2021-05-30,13369758.8814728
"151",1,2021-05-31,13179833.2464299
"152",1,2021-06-01,13011136.2786432
"153",1,2021-06-02,13644185.5993736
"154",1,2021-06-03,12351303.2337064
"155",1,2021-06-04,13487222.2804731
"156",1,2021-06-05,13371125.5998915
"157",1,2021-06-06,13045789.7626867
"158",1,2021-06-07,12513920.0354747
"159",1,2021-06-08,12661918.4453965
"160",1,2021-06-09,13262295.665272
"161",1,2021-06-10,13373912.5975426
"162",1,2021-06-11,13762384.1606584
"163",1,2021-06-12,14108006.9200491
"164",1,2021-06-13,13754632.1628497
"165",1,2021-06-14,13806978.110051
"166",1,2021-06-15,13840583.3444099
"167",1,2021-06-16,12571780.1159513
"168",1,2021-06-17,13288237.1013348
"169",1,2021-06-18,12523095.1354053
"170",1,2021-06-19,13497440.1851553
"171",1,2021-06-20,12836851.2221258
"172",1,2021-06-21,12695280.4186353
"173",1,2021-06-22,13322667.2855878
"174",1,2021-06-23,12833726.193243
"175",1,2021-06-24,13872550.0994917
"176",1,2021-06-25,13720126.3572061
"177",1,2021-06-26,13712889.8238963
"178",1,2021-06-27,14009741.66227
"179",1,2021-06-28,13359486.4984785
"180",1,2021-06-29,14070161.0151194
"181",1,2021-06-30,13444395.1419961
"182",1,2021-07-01,14184648.771981
"183",1,2021-07-02,13038816.4707794
"184",1,2021-07-03,13893373.5237685
"185",1,2021-07-04,13345496.9384381
"186",1,2021-07-05,13805165.4780154
"187",1,2021-07-06,14066105.2385067
"188",1,2021-07-07,13420653.0918793
"189",1,2021-07-08,12984700.2336077
"190",1,2021-07-09,14176406.2558724
"191",1,2021-07-10,13969374.4537599
"192",1,2021-07-11,13649535.4969772
"193",1,2021-07-12,13193727.6454742
"194",1,2021-07-13,12874116.5285314
"195",1,2021-07-14,12859477.9211165
"196",1,2021-07-15,13340675.8562633
"197",1,2021-07-16,12738615.1153939
"198",1,2021-07-17,12654688.6577779
"199",1,2021-07-18,12697918.7268909
"200",1,2021-07-19,13197022.5323356
"201",1,2021-07-20,13416078.7736748
"202",1,2021-07-21,12977873.6095402
"203",1,2021-07-22,13871809.6537338
"204",1,2021-07-23,13158496.5766771
"205",1,2021-07-24,12921786.4990397
"206",1,2021-07-25,13323346.0652565
"207",1,2021-07-26,13860208.9116996
"208",1,2021-07-27,12994354.1713959
"209",1,2021-07-28,13444703.1409907
"210",1,2021-07-29,13344524.6485182
"211",1,2021-07-30,12524508.4102087
"212",1,2021-07-31,12812685.0294797
"213",1,2021-08-01,12536139.153318
"214",1,2021-08-02,13084760.6513989
"215",1,2021-08-03,13144795.7958848
"216",1,2021-08-04,12877583.8704236
"217",1,2021-08-05,12491989.3588721
"218",1,2021-08-06,12814366.4575975
"219",1,2021-08-07,12395394.5829779
"220",1,2021-08-08,14107483.5475774
"221",1,2021-08-09,13479199.6393431
"222",1,2021-08-10,14025159.4342394
"223",1,2021-08-11,13049555.4237323
"224",1,2021-08-12,12215710.8108606
"225",1,2021-08-13,13824937.0827804
"226",1,2021-08-14,14004994.1177707
"227",1,2021-08-15,12359066.7202772
"228",1,2021-08-16,12674183.4185473
"229",1,2021-08-17,13280642.0876616
"230",1,2021-08-18,14531383.2582156
"231",1,2021-08-19,14015485.8962582
"232",1,2021-08-20,14593727.0741663
"233",1,2021-08-21,14638103.7287113
"234",1,2021-08-22,13499895.717647
"235",1,2021-08-23,13037657.1992697
"236",1,2021-08-24,12688126.8078018
"237",1,2021-08-25,13174060.2266218
"238",1,2021-08-26,14313368.2991219
"239",1,2021-08-27,13095115.1707181
"240",1,2021-08-28,12967639.6855096
"241",1,2021-08-29,13445521.6073682
"242",1,2021-08-30,13560495.0309699
"243",1,2021-08-31,13159052.8326305
"244",1,2021-09-01,12601716.1519824
"245",1,2021-09-02,13298141.9029207
"246",1,2021-09-03,13535514.2591534
"247",1,2021-09-04,13170925.2912211
"248",1,2021-09-05,13810133.9676815
"249",1,2021-09-06,13503245.733293
"250",1,2021-09-07,12773972.1491545
"251",1,2021-09-08,11690803.2504653
"252",1,2021-09-09,13023580.7146264
"253",1,2021-09-10,13368801.3411984
"254",1,2021-09-11,13721509.4820613
"255",1,2021-09-12,14370745.04646
"256",1,2021-09-13,14038700.1506472
"257",1,2021-09-14,13716948.990562
"258",1,2021-09-15,13224617.6323027
"259",1,2021-09-16,13383188.4355615
"260",1,2021-09-17,14569777.6706905
"261",1,2021-09-18,14872167.0379386
"262",1,2021-09-19,13824782.8231318
"263",1,2021-09-20,13072595.3450188
"264",1,2021-09-21,11960414.6186459
"265",1,2021-09-22,12461264.8946653
"266",1,2021-09-23,12222634.4591448
"267",1,2021-09-24,12988658.4476374
"268",1,2021-09-25,13077067.5155849
"269",1,2021-09-26,12925704.1916802
"270",1,2021-09-27,13023807.6679686
"271",1,2021-09-28,12878452.6173555
"272",1,2021-09-29,13381899.2792085
"273",1,2021-09-30,13933743.3481139
"274",1,2021-10-01,13367655.9302093
"275",1,2021-10-02,12787479.3382023
"276",1,2021-10-03,12819589.1434389
"277",1,2021-10-04,13602486.0098398
"278",1,2021-10-05,12886391.2735133
"279",1,2021-10-06,13737121.564852
"280",1,2021-10-07,13066319.6543825
"281",1,2021-10-08,13530219.4147987
"282",1,2021-10-09,13638181.6862384
"283",1,2021-10-10,13293375.0744049
"284",1,2021-10-11,12969137.2601606
"285",1,2021-10-12,13685234.4054228
"286",1,2021-10-13,11878776.3909746
"287",1,2021-10-14,12406343.2566839
"288",1,2021-10-15,12698178.3946419
"289",1,2021-10-16,13766506.5849955
"290",1,2021-10-17,12873866.3354394
"291",1,2021-10-18,12755066.0284606
"292",1,2021-10-19,12621029.6073775
"293",1,2021-10-20,12852997.7528906
"294",1,2021-10-21,12841319.694843
"295",1,2021-10-22,13070832.1352682
"296",1,2021-10-23,12614625.0210791
"297",1,2021-10-24,13155662.4624918
"298",1,2021-10-25,13855678.9885505
"299",1,2021-10-26,14700985.8910682
"300",1,2021-10-27,13229378.1335937
"301",1,2021-10-28,14259201.9954348
"302",1,2021-10-29,14437932.0797317
"303",1,2021-10-30,13950618.9874065
"304",1,2021-10-31,12201065.3773762
"305",1,2021-11-01,13038167.0947545
"306",1,2021-11-02,13195452.0965525
"307",1,2021-11-03,12703676.638066
"308",1,2021-11-04,12621066.9161113
"309",1,2021-11-05,11985985.6390268
"310",1,2021-11-06,12769526.4650094
"311",1,2021-11-07,12721682.3566881
"312",1,2021-11-08,13449255.3581205
"313",1,2021-11-09,12723825.0728007
"314",1,2021-11-10,13283350.0079824
"315",1,2021-11-11,12668237.2710078
"316",1,2021-11-12,13389051.7031971
"317",1,2021-11-13,13347290.8663616
"318",1,2021-11-14,12686961.4925858
"319",1,2021-11-15,12592301.5230558
"320",1,2021-11-16,13537480.4745247
"321",1,2021-11-17,14052724.0119646
"322",1,2021-11-18,13557347.4881901
"323",1,2021-11-19,13101618.7949534
"324",1,2021-11-20,13785925.9956412
"325",1,2021-11-21,13690951.6952011
"326",1,2021-11-22,12830075.9433934
"327",1,2021-11-23,13433963.6249753
"328",1,2021-11-24,12935371.8637661
"329",1,2021-11-25,13675727.9498115
"330",1,2021-11-26,13161256.1512977
"331",1,2021-11-27,13547512.2287803
"332",1,2021-11-28,13785034.4638033
"333",1,2021-11-29,13645291.8070045
"334",1,2021-11-30,13846353.5974498
"335",1,2021-12-01,12714648.2949713
"336",1,2021-12-02,11729993.5170351
"337",1,2021-12-03,12690507.1277592
"338",1,2021-12-04,13218655.3847807
"339",1,2021-12-05,13313320.1504742
"340",1,2021-12-06,13599064.093993
"341",1,2021-12-07,13315185.6389477
"342",1,2021-12-08,13217493.3030794
"343",1,2021-12-09,13683055.3242008
"344",1,2021-12-10,12892709.3784307
"345",1,2021-12-11,13736277.2817258
"346",1,2021-12-12,12966706.900767
"347",1,2021-12-13,13631074.4694998
"348",1,2021-12-14,13705057.2055033
"349",1,2021-12-15,13427317.7952316
"350",1,2021-12-16,12756009.3136727
"351",1,2021-12-17,12846008.2009453
"352",1,2021-12-18,13322039.8574662
"353",1,2021-12-19,13774714.5951607
"354",1,2021-12-20,12933273.0967172
"355",1,2021-12-21,13308139.681413
"356",1,2021-12-22,13656775.8510999
"357",1,2021-12-23,13525270.8008669
"358",1,2021-12-24,13770298.2200888
"359",1,2021-12-25,12408754.0834641
"360",1,2021-12-26,12906576.5140638
"361",1,2021-12-27,12500044.8974708
"362",1,2021-12-28,13281257.7646195
"363",1,2021-12-29,13725859.117132
"364",1,2021-12-30,13607469.2843013
"365",1,2021-12-31,14206345.0765246
"366",1,2022-01-01,13100222.3544294
"367",1,2022-01-02,13017971.8208813
"368",1,2022-01-03,12462445.0359096
"369",1,2022-01-04,13139746.5169797
"370",1,2022-01-05,13298113.1122955
"371",1,2022-01-06,12562795.470782
"372",1,2022-01-07,13659485.3946384
"373",1,2022-01-08,13392635.6487476
"374",1,2022-01-09,12796559.3110753
"375",1,2022-01-10,13314544.7398382
"376",1,2022-01-11,12822119.6310709
"377",1,2022-01-12,12676595.8544482
"378",1,2022-01-13,12196186.9860248
"379",1,2022-01-14,13261933.4442444
"380",1,2022-01-15,11923211.5036995
"381",1,2022-01-16,11818488.433243
"382",1,2022-01-17,11444037.0972279
"383",1,2022-01-18,12147523.9705281
"384",1,2022-01-19,13856773.4360448
"385",1,2022-01-20,14256533.4959622
"386",1,2022-01-21,13935280.4740314
"387",1,2022-01-22,13692259.1192571
"388",1,2022-01-23,13624887.1502895
"389",1,2022-01-24,11908836.8500444
"390",1,2022-01-25,12993066.4015598
"391",1,2022-01-26,12644923.8903821
"392",1,2022-01-27,13803231.563119
"393",1,2022-01-28,12650646.167261
"394",1,2022-01-29,13646353.5126332
"395",1,2022-01-30,12975214.8668368
"396",1,2022-01-31,12930097.9572891
"397",1,2022-02-01,12940493.5706438
"398",1,2022-02-02,12572624.090089
"399",1,2022-02-03,13313676.6034147
"400",1,2022-02-04,12877535.8249365
"401",1,2022-02-05,12754679.665301
"402",1,2022-02-06,13540663.3705022
"403",1,2022-02-07,13523287.2568475
"404",1,2022-02-08,14147850.0219997
"405",1,2022-02-09,13009515.0675324
"406",1,2022-02-10,13214507.173739
"407",1,2022-02-11,13182792.4585137
"408",1,2022-02-12,13780588.8308736
"409",1,2022-02-13,13832413.7735187
"410",1,2022-02-14,13821387.8321915
"411",1,2022-02-15,13665917.8181432
"412",1,2022-02-16,13135582.5692978
"413",1,2022-02-17,13209256.5945221
"414",1,2022-02-18,13291210.2966027
"415",1,2022-02-19,13810536.1871828
"416",1,2022-02-20,14116873.1776768
"417",1,2022-02-21,14096343.3557956
"418",1,2022-02-22,13947562.8356928
"419",1,2022-02-23,13013080.1288842
"420",1,2022-02-24,12939274.9065843
"421",1,2022-02-25,13101775.8613479
"422",1,2022-02-26,13498946.5364137
"423",1,2022-02-27,13510433.7517361
"424",1,2022-02-28,13295009.0798189
"425",1,2022-03-01,13911524.4016289
"426",1,2022-03-02,13208958.5745896
"427",1,2022-03-03,13922586.0451935
"428",1,2022-03-04,12599574.4634059
"429",1,2022-03-05,13655525.4663591
"430",1,2022-03-06,12446826.7698552
"431",1,2022-03-07,13145525.1198132
"432",1,2022-03-08,12728943.3239681
"433",1,2022-03-09,13225156.7867956
"434",1,2022-03-10,13368157.3999884
"435",1,2022-03-11,13011120.4773909
"436",1,2022-03-12,12633494.5933437
"437",1,2022-03-13,13451716.3628533
"438",1,2022-03-14,12802596.4853536
"439",1,2022-03-15,12994299.3387167
"440",1,2022-03-16,13327506.0736767
"441",1,2022-03-17,14096696.2120776
"442",1,2022-03-18,13064944.5438705
"443",1,2022-03-19,13760161.7253418
"444",1,2022-03-20,14068582.2095048
"445",1,2022-03-21,13103103.9510782
"446",1,2022-03-22,13467383.0236319
"447",1,2022-03-23,13818428.5446577
"448",1,2022-03-24,14492895.46178
"449",1,2022-03-25,13742269.3767068
"450",1,2022-03-26,13423284.3384073
"451",1,2022-03-27,13503932.0025742
"452",1,2022-03-28,13262314.8139917
"453",1,2022-03-29,14110118.8453209
"454",1,2022-03-30,13921427.7454048
"455",1,2022-03-31,13119206.2106686
"456",1,2022-04-01,12231182.7493156
"457",1,2022-04-02,13759141.5895337
"458",1,2022-04-03,12407077.8765805
"459",1,2022-04-04,13331847.7779828
"460",1,2022-04-05,12880816.6217225
"461",1,2022-04-06,13442017.7422296
"462",1,2022-04-07,12403498.8110544
"463",1,2022-04-08,13584594.0135451
"464",1,2022-04-09,12814033.9200504
"465",1,2022-04-10,13810844.3054553
"466",1,2022-04-11,13366496.6364204
"467",1,2022-04-12,13396985.4736297
"468",1,2022-04-13,13134359.1898664
"469",1,2022-04-14,13338320.0297209
"470",1,2022-04-15,13407537.3762692
"471",1,2022-04-16,14167419.6641233
"472",1,2022-04-17,13412171.4131964
"473",1,2022-04-18,13372994.7352498
"474",1,2022-04-19,13953286.7283151
"475",1,2022-04-20,14362065.7800962
"476",1,2022-04-21,13601967.7216951
"477",1,2022-04-22,13719298.8324069
"478",1,2022-04-23,14749352.3115664
"479",1,2022-04-24,13505664.9011331
"480",1,2022-04-25,12445245.2266203
"481",1,2022-04-26,13853844.9829697
"482",1,2022-04-27,12900354.0222736
"483",1,2022-04-28,12409672.3443641
"484",1,2022-04-29,13565647.429504
"485",1,2022-04-30,14046202.1072934
"486",1,2022-05-01,12711692.042135
"487",1,2022-05-02,12968788.6388364
"488",1,2022-05-03,12695731.5600571
"489",1,2022-05-04,13481806.7843327
"490",1,2022-05-05,13422463.8837175
"491",1,2022-05-06,13591518.1031048
"492",1,2022-05-07,13401512.3448523
"493",1,2022-05-08,13840293.9222581
"494",1,2022-05-09,12612111.9776505
"495",1,2022-05-10,12329578.9582439
"496",1,2022-05-11,12659758.3769213
"497",1,2022-05-12,13640647.7862752
"498",1,2022-05-13,12811555.0923821
"499",1,2022-05-14,13441995.6025404
"500",1,2022-05-15,13983880.6148552
"501",1,2022-05-16,14046976.5037448
"502",1,2022-05-17,13503601.8129969
"503",1,2022-05-18,13947390.9388223
"504",1,2022-05-19,14284161.9142779
"505",1,2022-05-20,14061025.759064
"506",1,2022-05-21,13113662.7292736
"507",1,2022-05-22,12756928.6385886
"508",1,2022-05-23,13153593.9657747
"509",1,2022-05-24,13304819.0815556
"510",1,2022-05-25,13338031.3635946
"511",1,2022-05-26,12901553.5608888
"512",1,2022-05-27,12919730.8781005
"513",1,2022-05-28,13222406.8261247
"514",1,2022-05-29,13388282.3641833
"515",1,2022-05-30,13949368.3842742
"516",1,2022-05-31,12693096.9310273
"517",1,2022-06-01,13968434.8771622
"518",1,2022-06-02,13653628.493265
"519",1,2022-06-03,13660950.6877473
"520",1,2022-06-04,14117548.9386288
"521",1,2022-06-05,13373012.2375043
"522",1,2022-06-06,14176578.3871832
"523",1,2022-06-07,13295013.0245946
"524",1,2022-06-08,12568284.9479514
"525",1,2022-06-09,12556758.8889625
"526",1,2022-06-10,12544721.9884044
"527",1,2022-06-11,12907018.0883547
"528",1,2022-06-12,13039449.1440241
"529",1,2022-06-13,13548159.707552
"530",1,2022-06-14,13732325.4588633
"531",1,2022-06-15,13180722.4885315
"532",1,2022-06-16,13666612.6538691
"533",1,2022-06-17,13809416.8342659
"534",1,2022-06-18,13831055.2208333
"535",1,2022-06-19,13740380.9123871
"536",1,2022-06-20,13143551.2724
"537",1,2022-06-21,14124649.9933915
"538",1,2022-06-22,14703883.4800184
"539",1,2022-06-23,12774932.7211668
"540",1,2022-06-24,12994749.559808
"541",1,2022-06-25,13445462.2707901
"542",1,2022-06-26,13808781.4200052
"543",1,2022-06-27,13056969.2748569
"544",1,2022-06-28,13297088.9112323
"545",1,2022-06-29,13775561.9667171
"546",1,2022-06-30,12675632.1941241
"547",1,2022-07-01,12486650.5953369
"548",1,2022-07-02,12814320.5247287
"549",1,2022-07-03,13232384.4359642
"550",1,2022-07-04,13237769.0306246
"551",1,2022-07-05,12532651.3440968
"552",1,2022-07-06,12779537.696576
"553",1,2022-07-07,13174965.1636361
"554",1,2022-07-08,12627558.2547064
"555",1,2022-07-09,13317596.1809435
"556",1,2022-07-10,12355950.1960385
"557",1,2022-07-11,13471499.0166999
"558",1,2022-07-12,12890786.1322262
"559",1,2022-07-13,13111789.5442501
"560",1,2022-07-14,13734968.2499404
"561",1,2022-07-15,13749593.1725663
"562",1,2022-07-16,13087723.7252745
"563",1,2022-07-17,13195108.5293199
"564",1,2022-07-18,12427506.2849301
"565",1,2022-07-19,13294816.7646581
"566",1,2022-07-20,13204879.1548289
"567",1,2022-07-21,12852923.6391328
"568",1,2022-07-22,13307864.7390535
"569",1,2022-07-23,13513491.6410404
"570",1,2022-07-24,12957202.0202544
"571",1,2022-07-25,12486147.6084998
"572",1,2022-07-26,12325130.9469257
"573",1,2022-07-27,12916557.6247428
"574",1,2022-07-28,12671058.0532552
"575",1,2022-07-29,13393464.6475376
"576",1,2022-07-30,12948361.2090928
"577",1,2022-07-31,13015666.8642346
"578",1,2022-08-01,12916070.2158904
"579",1,2022-08-02,13106593.84821
"580",1,2022-08-03,12881781.555808
"581",1,2022-08-04,12999654.0374232
"582",1,2022-08-05,12939134.1265002
"583",1,2022-08-06,13429220.9285396
"584",1,2022-08-07,13656453.0238988
"585",1,2022-08-08,12980068.6438271
"586",1,2022-08-09,12846060.125843
"587",1,2022-08-10,12729516.2991224
"588",1,2022-08-11,13382400.1778546
"589",1,2022-08-12,13278583.1237756
"590",1,2022-08-13,11876401.5341827
"591",1,2022-08-14,13261750.4964264
"592",1,2022-08-15,14264612.9785339
"593",1,2022-08-16,13620543.2218518
"594",1,2022-08-17,13756560.0381841
"595",1,2022-08-18,13740580.8107638
"596",1,2022-08-19,13324780.36423
"597",1,2022-08-20,12103658.7443915
"598",1,2022-08-21,12449977.1261229
"599",1,2022-08-22,13483122.9439247
"600",1,2022-08-23,12542004.9905346
"601",2,2021-01-01,-2263992.41112131
"602",2,2021-01-02,-1867270.3715904
"603",2,2021-01-03,-1313890.15501419
"604",2,2021-01-04,-877845.718910169
"605",2,2021-01-05,-1112475.9533977
"606",2,2021-01-06,-653180.241809922
"607",2,2021-01-07,-1569906.42136371
"608",2,2021-01-08,-1070336.80949203
"609",2,2021-01-09,-766456.432760594
"610",2,2021-01-10,221936.489583119
"611",2,2021-01-11,-90547.9130233768
"612",2,2021-01-12,-1056299.71456177
"613",2,2021-01-13,-1250105.02030133
"614",2,2021-01-14,-278351.694014505
"615",2,2021-01-15,374675.407737946
"616",2,2021-01-16,-731208.02943391
"617",2,2021-01-17,-604042.76550804
"618",2,2021-01-18,100393.571159028
"619",2,2021-01-19,-685449.091830042
"620",2,2021-01-20,-2085848.5618901
"621",2,2021-01-21,-758198.80166895
"622",2,2021-01-22,-440251.171931299
"623",2,2021-01-23,-1383828.77649345
"624",2,2021-01-24,-1437127.5824127
"625",2,2021-01-25,-1676035.29433139
"626",2,2021-01-26,-2193687.66818963
"627",2,2021-01-27,-2931223.13314508
"628",2,2021-01-28,-1072505.82861066
"629",2,2021-01-29,-1598272.34225067
"630",2,2021-01-30,-346609.415191133
"631",2,2021-01-31,-2930314.63669095
"632",2,2021-02-01,-2239415.52128905
"633",2,2021-02-02,-1042068.69704323
"634",2,2021-02-03,-878715.510879816
"635",2,2021-02-04,-1616703.5333542
"636",2,2021-02-05,-697904.204909298
"637",2,2021-02-06,-774356.778019239
"638",2,2021-02-07,-729817.557898971
"639",2,2021-02-08,-709065.95239601
"640",2,2021-02-09,946022.749409275
"641",2,2021-02-10,657275.475463225
"642",2,2021-02-11,-637621.445169372
"643",2,2021-02-12,-939464.289879101
"644",2,2021-02-13,-113510.700363514
"645",2,2021-02-14,155132.029624446
"646",2,2021-02-15,-1293239.71171186
"647",2,2021-02-16,-798245.546727625
"648",2,2021-02-17,-470140.536664975
"649",2,2021-02-18,-1309695.27357466
"650",2,2021-02-19,-2605707.61817129
"651",2,2021-02-20,-887727.937813042
"652",2,2021-02-21,-214700.373387105
"653",2,2021-02-22,-1334819.83765255
"654",2,2021-02-23,-1289682.13044564
"655",2,2021-02-24,-2147721.99703968
"656",2,2021-02-25,-2923469.77905384
"657",2,2021-02-26,-3518399.43334064
"658",2,2021-02-27,-698335.686954513
"659",2,2021-02-28,-1425771.93311561
"660",2,2021-03-01,-323860.939401032
"661",2,2021-03-02,-3375745.80482778
"662",2,2021-03-03,-2655360.68367671
"663",2,2021-03-04,-1809514.38302707
"664",2,2021-03-05,-1414849.9983093
"665",2,2021-03-06,-1936873.44658931
"666",2,2021-03-07,-560196.76376348
"667",2,2021-03-08,-1011646.08455114
"668",2,2021-03-09,-567887.408159221
"669",2,2021-03-10,-1121295.39408621
"670",2,2021-03-11,901066.149829937
"671",2,2021-03-12,606762.708920968
"672",2,2021-03-13,-293357.439779658
"673",2,2021-03-14,-897849.025120064
"674",2,2021-03-15,-12787.817035039
"675",2,2021-03-16,149679.345896497
"676",2,2021-03-17,-1520373.46668229
"677",2,2021-03-18,-641810.123465942
"678",2,2021-03-19,-100294.838714445
"679",2,2021-03-20,-1617821.40349212
"680",2,2021-03-21,-2786713.93825213
"681",2,2021-03-22,-1440361.70006156
"682",2,2021-03-23,-492725.271997053
"683",2,2021-03-24,-1224427.76747141
"684",2,2021-03-25,-1589998.89375951
"685",2,2021-03-26,-2105848.83366641
"686",2,2021-03-27,-2768215.15185699
"687",2,2021-03-28,-3378848.28296886
"688",2,2021-03-29,-578835.999712356
"689",2,2021-03-30,-1288265.43304638
"690",2,2021-03-31,-509419.290583338
"691",2,2021-04-01,-3662143.26427872
"692",2,2021-04-02,-1934853.39969533
"693",2,2021-04-03,-1769873.38463616
"694",2,2021-04-04,-1700309.62426115
"695",2,2021-04-05,-2581519.20821837
"696",2,2021-04-06,-1067467.22326392
"697",2,2021-04-07,-1227675.87022818
"698",2,2021-04-08,-898828.014276184
