"","suc","cap"
"259",259,1.524e+09
"260",260,1.531e+09
"261",261,1.131e+09
"262",262,1.178e+09
"263",263,1.872e+09
"264",264,2.051e+09
"265",265,2.923e+09
"266",266,1.385e+09
"267",267,2.134e+09
"268",268,2.917e+09
"269",269,2.207e+09
"270",270,1.072e+09
"271",271,8.97e+08
"272",272,2.298e+09
"273",273,1.392e+09
"274",274,1.104e+09
"275",275,2.874e+09
"276",276,2.317e+09
"277",277,2.254e+09
"278",278,2.283e+09
"279",279,1.999e+09
"280",280,1.398e+09
"281",281,1.877e+09
"282",282,1.328e+09
"283",283,2.824e+09
"284",284,1.607e+09
"285",285,2.562e+09
"286",286,2.024e+09
"287",287,2.982e+09
"288",288,8.19e+08
"289",289,2.312e+09
"290",290,2.976e+09
"291",291,1.012e+09
"292",292,1.439e+09
"293",293,2.767e+09
"294",294,9.76e+08
"295",295,1.092e+09
"296",296,1.905e+09
"297",297,2.072e+09
"298",298,1.574e+09
"299",299,2.268e+09
"300",300,2.832e+09
"301",301,1.876e+09
"302",302,2.845e+09
"303",303,1.786e+09
"304",304,2.31e+09
"305",305,2.069e+09
"306",306,1.657e+09
"307",307,2.515e+09
"308",308,2.782e+09
"309",309,1.445e+09
"310",310,2.54e+09
"311",311,2.704e+09
"312",312,2.445e+09
"313",313,9.67e+08
"314",314,1.809e+09
"315",315,1.665e+09
"316",316,1.805e+09
"317",317,1.801e+09
"318",318,1.685e+09
"319",319,1.009e+09
"320",320,2.033e+09
"321",321,9.21e+08
"322",322,2.922e+09
"323",323,8.88e+08
"324",324,2.734e+09
"325",325,1.253e+09
"326",326,2.297e+09
"327",327,1.787e+09
"328",328,1.745e+09
"329",329,1.416e+09
"330",330,2.978e+09
"331",331,1.499e+09
"332",332,1.666e+09
"333",333,9.14e+08
"334",334,1.642e+09
"335",335,2.565e+09
"336",336,2.807e+09
"337",337,1.698e+09
"338",338,8.53e+08
"339",339,2.108e+09
"340",340,2.627e+09
"341",341,1.775e+09
"342",342,2.587e+09
"343",343,1.393e+09
"344",344,1.032e+09
"345",345,1.262e+09
"346",346,2.788e+09
"347",347,2.438e+09
"348",348,1.776e+09
"349",349,2.251e+09
"350",350,1.238e+09
"351",351,2.422e+09
"352",352,1.706e+09
"353",353,2.553e+09
"354",354,1.041e+09
"355",355,1.753e+09
"356",356,1.929e+09
"357",357,2.454e+09
"358",358,1.95e+09
"359",359,2.153e+09
"360",360,1.996e+09
"361",361,1.648e+09
"362",362,9.64e+08
"363",363,1.846e+09
"364",364,2.742e+09
"365",365,2.5e+09
"366",366,1.854e+09
"367",367,1.518e+09
"368",368,2.264e+09
"369",369,1.077e+09
"370",370,2.661e+09
"371",371,1.271e+09
"372",372,8.67e+08
"373",373,1.529e+09
"374",374,2.205e+09
"375",375,1.016e+09
"376",376,1.511e+09
"377",377,1.814e+09
"378",378,1.821e+09
"379",379,1.707e+09
"380",380,2.418e+09
"381",381,1.162e+09
"382",382,1.139e+09
"383",383,1.686e+09
"384",384,2.022e+09
"385",385,2.277e+09
"386",386,1.379e+09
"387",387,2.46e+09
"388",388,1.182e+09
"389",389,2.035e+09
"390",390,2.901e+09
"391",391,1.026e+09
"392",392,1.082e+09
"393",393,1.47e+09
"394",394,2.923e+09
"395",395,2.819e+09
"396",396,8.85e+08
"397",397,8.46e+08
"398",398,1.279e+09
"399",399,1.248e+09
"400",400,1.55e+09
"401",401,1.619e+09
"402",402,1.039e+09
"403",403,2.281e+09
"404",404,1.383e+09
"405",405,1.539e+09
"406",406,9.45e+08
"407",407,1.287e+09
"408",408,9.29e+08
"409",409,2.009e+09
"410",410,2.213e+09
"411",411,2.759e+09
"412",412,1.81e+09
"413",413,1.948e+09
"414",414,9.48e+08
"415",415,1.419e+09
"416",416,1.113e+09
"417",417,1.885e+09
"418",418,1.442e+09
"419",419,2.797e+09
"420",420,1.149e+09
"421",421,1.74e+09
"422",422,1.439e+09
"423",423,1.3e+09
"424",424,9.65e+08
"425",425,1.287e+09
"426",426,2.231e+09
"427",427,2.111e+09
"428",428,1.094e+09
"429",429,2.286e+09
"430",430,2.023e+09
"431",431,1.043e+09
"432",432,2.207e+09
"433",433,1.938e+09
"434",434,2.927e+09
"435",435,2.406e+09
"436",436,1.547e+09
"437",437,1.621e+09
"438",438,2.089e+09
"439",439,2.312e+09
"440",440,2.423e+09
"441",441,2.376e+09
"442",442,1.852e+09
"443",443,2.186e+09
"444",444,2.495e+09
"445",445,1.874e+09
"446",446,2.84e+09
"447",447,1.46e+09
"448",448,1.346e+09
"449",449,2.429e+09
"450",450,2.5e+09
"451",451,2.584e+09
"452",452,2.694e+09
"453",453,9.48e+08
"454",454,1.423e+09
"455",455,1.803e+09
"456",456,2.871e+09
"457",457,8.47e+08
"458",458,9.1e+08
"459",459,9.26e+08
"460",460,2.745e+09
"461",461,9.14e+08
"462",462,9.83e+08
"463",463,1.091e+09
"464",464,2.292e+09
"465",465,9.36e+08
"466",466,2.733e+09
"467",467,2.964e+09
"468",468,2.964e+09
"469",469,2.609e+09
"470",470,1.098e+09
"471",471,9.01e+08
"472",472,1.757e+09
"473",473,2.802e+09
"474",474,2.874e+09
"475",475,1.622e+09
"476",476,1.258e+09
"477",477,1.112e+09
"478",478,2.914e+09
"479",479,8.96e+08
"480",480,2.301e+09
"481",481,2.183e+09
"482",482,1.893e+09
"483",483,1.649e+09
"484",484,1.804e+09
"485",485,2.03e+09
"486",486,1.696e+09
"487",487,1.475e+09
"488",488,2.764e+09
"489",489,2.404e+09
"490",490,2.258e+09
"491",491,2.761e+09
"492",492,1.609e+09
"493",493,1.531e+09
"494",494,2.829e+09
"495",495,1.532e+09
"496",496,1.088e+09
"497",497,2.237e+09
"498",498,2.371e+09
"499",499,1.608e+09
"500",500,8.01e+08
"501",501,2.525e+09
"502",502,1.994e+09
"503",503,2.808e+09
"504",504,2.344e+09
"505",505,2.534e+09
"506",506,1.849e+09
"507",507,2.045e+09
"508",508,1.398e+09
"509",509,2.172e+09
"510",510,1.896e+09
"511",511,9.81e+08
"512",512,1.542e+09
"513",513,1.606e+09
"514",514,2.777e+09
"515",515,1.354e+09
"516",516,1.54e+09
"517",517,2.17e+09
"518",518,1.643e+09
"519",519,1.166e+09
"520",520,1.035e+09
"521",521,2.27e+09
"522",522,2.349e+09
"523",523,2.187e+09
"524",524,1.312e+09
"525",525,2.505e+09
"526",526,1.363e+09
"527",527,2.415e+09
"528",528,2.608e+09
"529",529,1.518e+09
"530",530,2.58e+09
"531",531,2.659e+09
"532",532,2.046e+09
"533",533,1.782e+09
"534",534,1.389e+09
"535",535,1.152e+09
"536",536,2.793e+09
"537",537,1.991e+09
"538",538,1.214e+09
"539",539,2.383e+09
"540",540,2.848e+09
"541",541,2.127e+09
"542",542,9.17e+08
"543",543,1.476e+09
"544",544,1.184e+09
"545",545,8.58e+08
"546",546,1.881e+09
"547",547,2.439e+09
"548",548,2.918e+09
"549",549,2.074e+09
"550",550,9.01e+08
"551",551,1e+09
"552",552,1.663e+09
"553",553,1.871e+09
"554",554,2.063e+09
"555",555,8.2e+08
"556",556,1.678e+09
"557",557,1.873e+09
"558",558,1.968e+09
"559",559,2.073e+09
"560",560,2.105e+09
"561",561,2.56e+09
"562",562,2.433e+09
"563",563,1.587e+09
"564",564,2.396e+09
"565",565,2.16e+09
"566",566,2.774e+09
"567",567,2.879e+09
"568",568,2.791e+09
"569",569,1.48e+09
"570",570,9.65e+08
"571",571,2.844e+09
"572",572,1.677e+09
"573",573,1.585e+09
"574",574,2.712e+09
"575",575,2.568e+09
"576",576,2.943e+09
"577",577,2.438e+09
"578",578,2.49e+09
"579",579,1.683e+09
"580",580,2.007e+09
"581",581,1.894e+09
"582",582,2.726e+09
"583",583,8.15e+08
"584",584,2.98e+09
"585",585,1.084e+09
"586",586,1.531e+09
"587",587,1.663e+09
"588",588,8.26e+08
"589",589,1.966e+09
"590",590,1.663e+09
"591",591,1.092e+09
"592",592,2.328e+09
"593",593,2.818e+09
"594",594,9.99e+08
"595",595,2.324e+09
"596",596,9.82e+08
"597",597,1.821e+09
"598",598,1.95e+09
"599",599,2.073e+09
"600",600,8.24e+08
"601",601,1.473e+09
"602",602,2.179e+09
"603",603,2.922e+09
"604",604,1.918e+09
"605",605,1.813e+09
"606",606,1.375e+09
"607",607,2.418e+09
"608",608,1.889e+09
"609",609,2.078e+09
"610",610,1.223e+09
"611",611,2.603e+09
"612",612,1.333e+09
"613",613,2.409e+09
"614",614,8.8e+08
"615",615,2.609e+09
"616",616,2.721e+09
"617",617,2.701e+09
"618",618,1.999e+09
"619",619,2.212e+09
"620",620,2.781e+09
"621",621,1.674e+09
"622",622,1.308e+09
"623",623,2.345e+09
"624",624,1.958e+09
"625",625,2.512e+09
"626",626,2.808e+09
"627",627,2.981e+09
"628",628,1.338e+09
"629",629,1.253e+09
"630",630,2.177e+09
"631",631,1.423e+09
"632",632,1.774e+09
"633",633,1.594e+09
"634",634,1.111e+09
"635",635,2.413e+09
"636",636,2.724e+09
"637",637,2.219e+09
"638",638,2.874e+09
"639",639,8.55e+08
"640",640,2.956e+09
"641",641,1.996e+09
"642",642,2.456e+09
"643",643,2.419e+09
"644",644,1.999e+09
"645",645,1.097e+09
"646",646,1.134e+09
"647",647,2.661e+09
"648",648,1.031e+09
"649",649,9.7e+08
"650",650,1.237e+09
"651",651,1.53e+09
"652",652,1.291e+09
"653",653,9.54e+08
"654",654,1.226e+09
"655",655,2.511e+09
"656",656,1.044e+09
"657",657,1.133e+09
"658",658,1.603e+09
"659",659,1.716e+09
"660",660,2.541e+09
"661",661,2.092e+09
"662",662,2.417e+09
"663",663,2.478e+09
"664",664,2.668e+09
"665",665,2.948e+09
"666",666,2.082e+09
"667",667,1.569e+09
"668",668,2.146e+09
"669",669,2.077e+09
"670",670,2.614e+09
"671",671,2.455e+09
"672",672,1.81e+09
"673",673,1.73e+09
"674",674,2.148e+09
"675",675,2.458e+09
"676",676,1.713e+09
"677",677,1.941e+09
"678",678,9.32e+08
"679",679,2.255e+09
"680",680,9.82e+08
"681",681,2.357e+09
"682",682,2.622e+09
"683",683,2.244e+09
"684",684,1.741e+09
"685",685,1.372e+09
"686",686,1.079e+09
"687",687,2.48e+09
"688",688,9.31e+08
"689",689,1.898e+09
"690",690,1.848e+09
"691",691,2.742e+09
"692",692,1.254e+09
"693",693,1.739e+09
"694",694,2.934e+09
"695",695,1.982e+09
"696",696,1.996e+09
"697",697,2.603e+09
"698",698,1.288e+09
"699",699,8.72e+08
"700",700,1.596e+09
